GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047047200,"Census Tract 472, Kings County, New York",male_65_66,53,44,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_67_69,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_70_74,65,47,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_75_79,19,25,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_80_84,11,24,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_85,39,55,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_total,1343,224,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_5y,124,78,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_5_9,82,49,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_10_14,112,63,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_15_17,163,78,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_18_19,36,29,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_20,12,18,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_21,26,33,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_22_24,45,45,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_25_29,10,17,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_30_34,11,25,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_35_39,15,22,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_40_44,170,85,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_45_49,103,49,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_50_54,95,66,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_55_59,100,70,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_60_61,53,28,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_62_64,62,51,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_65_66,32,38,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_67_69,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_70_74,9,14,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_75_79,0,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",female_80_84,12,23,2009,2005-2009,Census Tract 472
